key=11001000010110      count=246
key=10111110011000      count=245
key=11001000000110      count=245
key=01101101010001      count=245
key=00101110000101      count=245
key=01000011110101      count=245
key=11000001000110      count=244
key=11000111101111      count=244
key=01001101010010      count=244
key=10110001000010      count=244
key=11001011011000      count=243
key=01111101000100      count=242
key=01011110010011      count=242
key=01011100001011      count=242
key=10110001010000      count=242
key=10110010111111      count=242
key=11000001111001      count=242
key=01001010001010      count=242
key=01011111000111      count=241
key=01001010000010      count=241
key=11001011110101      count=241
key=00101001110110      count=240
key=11001010001001      count=240
key=00101001111011      count=239
key=11000010000010      count=239
key=01001010110010      count=239
key=01100111000111      count=238
key=10110010000101      count=238
key=10111011011011      count=238
key=10101101111000      count=237
key=10101101101111      count=237
key=11001011100111      count=237
key=01001110011011      count=237
key=01000011011001      count=237
key=01011101101111      count=235
key=11001011000010      count=234
key=10110100111100      count=233
key=10110001001001      count=233
key=11000111000001      count=233
key=01011110000101      count=233
key=01011101101110      count=233
key=01110110010111      count=233
key=10101101110111      count=232
key=11011000010000      count=232
key=11001010101011      count=232
key=11011000010100      count=230
key=10111010011110      count=230
key=10111110011001      count=229
key=11001101101011      count=229
key=11000001111011      count=228
key=11010010000100      count=228
key=01001010010101      count=227
key=01000010001101      count=227
key=01010111011110      count=227
key=01101110001001      count=227
key=11001000010011      count=227
key=11000000100010      count=227
key=11000111111101      count=227
key=01100001010000      count=227
key=10110010110100      count=226
key=00111010011000      count=225
key=11000000010001      count=225
key=01000101000001      count=225
key=11001100100110      count=224
key=11000011110100      count=224
key=11001010100111      count=224
key=11000010010001      count=224
key=01111001001101      count=224
key=00111111111110      count=223
key=11001011110010      count=223
key=01111101101000      count=223
key=11001101111011      count=223
key=11000010000111      count=223
key=10111010110000      count=223
key=11000001100101      count=223
key=01000100010001      count=222
key=10110100010111      count=222
key=11000010001100      count=222
key=10111000101010      count=222
key=01011110011001      count=222
key=11011100111101      count=222
key=10101110100010      count=221
key=11000001001010      count=221
key=11000111001011      count=221
key=01000000101110      count=221
key=11001111111110      count=221
key=11001000010001      count=221
key=10110100111110      count=220
key=01000101010000      count=220
key=01000100101001      count=220
key=10101101110100      count=220
key=00011111101010      count=220
key=00111010111110      count=220
key=11001011110111      count=220
key=01011001011010      count=219
key=01000010111110      count=219
key=10111110010110      count=219
key=11001011010011      count=219
key=00111111111101      count=218
key=11010010011001      count=218
key=11001000001101      count=218
key=11011000110101      count=218
key=00101110111111      count=218
key=11000010100001      count=218
key=11001001101101      count=218
key=11000011111101      count=217
